title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,date
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Hammer Curl (Dumbbell),,,0,normal,20.41,10.0,,,,2026-07-15
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Hammer Curl (Dumbbell),,,1,normal,20.41,7.0,,,,2026-07-15
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Overhead Press (Barbell),,,0,normal,43.09,7.0,,,,2026-07-15
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Overhead Press (Barbell),,,1,normal,43.09,8.0,,,,2026-07-15
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Single Arm Triceps Pushdown (Cable),,,0,normal,12.47,10.0,,,,2026-07-15
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Single Arm Triceps Pushdown (Cable),,,1,normal,12.47,8.0,,,,2026-07-15
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Rear Delt Reverse Fly (Cable),,,0,normal,5.67,9.0,,,,2026-07-15
Morning workout ☀️,"Jul 15, 2026, 7:49 AM","Jul 15, 2026, 8:19 AM",,Rear Delt Reverse Fly (Cable),,,1,normal,5.67,6.0,,,,2026-07-15
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Jefferson Curl,,Back of knee didn't feel good so skipped the other two sets,0,normal,34.02,10.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Calf Extension (Machine),,,0,normal,149.69,12.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Calf Extension (Machine),,,1,normal,149.69,10.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Calf Extension (Machine),,,2,normal,149.69,9.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Leg Extension (Machine),,,0,normal,68.04,12.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Lying Neck Extension (Weighted),,,0,normal,14.74,13.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Lying Neck Extension (Weighted),,,1,normal,14.74,12.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Lying Neck Curls (Weighted),,,0,normal,18.14,14.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Lying Neck Curls (Weighted),,,1,normal,18.14,12.0,,,,2026-07-13
Evening workout 🏋️,"Jul 13, 2026, 7:42 PM","Jul 13, 2026, 8:35 PM",,Lying Leg Curl (Machine),,Back of knee doesn't feel good for whatever reason on right side,0,normal,63.5,12.0,,,,2026-07-13
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Pull Up,,,0,normal,92.98643585,8.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Pull Up (Assisted),,,0,normal,74.84643585,8.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Pull Up (Assisted),,,1,normal,74.84643585,7.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Pull Up (Assisted),,,2,normal,74.84643585,7.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Incline Bench Press (Dumbbell),,,0,normal,29.48,13.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Incline Bench Press (Dumbbell),,,1,normal,29.48,9.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Incline Bench Press (Dumbbell),,,2,normal,29.48,7.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,T Bar Row,,,0,normal,52.16,10.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,T Bar Row,,,1,normal,52.16,7.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,T Bar Row,,,2,normal,40.82,8.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Chest Fly (Machine),,,0,normal,72.57,10.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Chest Fly (Machine),,,1,normal,72.57,6.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Pullover (Dumbbell),,,0,normal,18.14,12.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Pullover (Dumbbell),,,1,normal,18.14,10.0,,,,2026-07-11
Afternoon workout 💪,"Jul 11, 2026, 3:43 PM","Jul 11, 2026, 4:51 PM",,Pullover (Dumbbell),,,2,normal,18.14,7.0,,,,2026-07-11
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Overhead Press (Barbell),,,0,normal,43.09,11.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Overhead Press (Barbell),,,1,normal,43.09,8.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Overhead Press (Barbell),,,2,normal,43.09,8.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Preacher Curl (Barbell),,,0,normal,31.75,9.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Preacher Curl (Barbell),,,1,normal,31.75,7.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Preacher Curl (Barbell),,,2,normal,27.22,8.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Single Arm Triceps Pushdown (Cable),,,0,normal,13.83,12.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Single Arm Triceps Pushdown (Cable),,,1,normal,13.83,9.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Single Arm Triceps Pushdown (Cable),,,2,normal,13.83,7.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Crunch (Machine),,,0,normal,27.22,9.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Torso Rotation,,,0,normal,65.77,11.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Hammer Curl (Dumbbell),,,0,normal,20.41,10.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Hammer Curl (Dumbbell),,,1,normal,20.41,7.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Rear Delt Reverse Fly (Machine),,,0,normal,40.82,11.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Rear Delt Reverse Fly (Machine),,,1,normal,40.82,8.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Triceps Extension (Cable),,,0,normal,17.01,12.0,,,,2026-07-10
Evening workout 🏋️,"Jul 10, 2026, 6:20 PM","Jul 10, 2026, 7:35 PM",,Triceps Extension (Cable),,,1,normal,17.01,9.0,,,,2026-07-10
Evening workout 🏋️,"Jul 7, 2026, 6:56 PM","Jul 7, 2026, 7:26 PM",,Jefferson Curl,,,0,normal,34.02,10.0,,,,2026-07-07
Evening workout 🏋️,"Jul 7, 2026, 6:56 PM","Jul 7, 2026, 7:26 PM",,Jefferson Curl,,,1,normal,34.02,8.0,,,,2026-07-07
Evening workout 🏋️,"Jul 7, 2026, 6:56 PM","Jul 7, 2026, 7:26 PM",,Standing Calf Raise (Machine),,,0,normal,149.69,13.0,,,,2026-07-07
Evening workout 🏋️,"Jul 7, 2026, 6:56 PM","Jul 7, 2026, 7:26 PM",,Standing Calf Raise (Machine),,,1,normal,149.69,9.0,,,,2026-07-07
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Pull Up,,,0,normal,92.98643585,9.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Pull Up (Assisted),,,0,normal,74.84643585,8.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Pull Up (Assisted),,,1,normal,74.84643585,7.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Pull Up (Assisted),,,2,normal,74.84643585,7.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Incline Bench Press (Dumbbell),,,0,normal,29.48,14.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Incline Bench Press (Dumbbell),,,1,normal,29.48,10.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Incline Bench Press (Dumbbell),,,2,normal,29.48,5.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,T Bar Row,,,0,normal,52.16,10.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,T Bar Row,,,1,normal,52.16,6.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,T Bar Row,,,2,normal,40.82,7.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Pullover (Dumbbell),,,0,normal,18.14,11.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Pullover (Dumbbell),,,1,normal,18.14,8.0,,,,2026-07-06
Evening workout 🏋️,"Jul 6, 2026, 7:41 PM","Jul 6, 2026, 9:25 PM",,Pullover (Dumbbell),,,2,normal,18.14,7.0,,,,2026-07-06
Afternoon workout 💪,"Jul 3, 2026, 6:27 PM","Jul 3, 2026, 6:30 PM",,Overhead Press (Barbell),,Ohp 2nd set,0,normal,43.09,10.0,,,,2026-07-03
Afternoon workout 💪,"Jul 3, 2026, 6:27 PM","Jul 3, 2026, 6:30 PM",,Overhead Press (Barbell),,Ohp 2nd set,1,normal,43.09,10.0,,,,2026-07-03
Afternoon workout 💪,"Jul 3, 2026, 6:27 PM","Jul 3, 2026, 6:30 PM",,Preacher Curl (Barbell),,,0,normal,31.75,9.0,,,,2026-07-03
Afternoon workout 💪,"Jul 3, 2026, 6:27 PM","Jul 3, 2026, 6:30 PM",,Preacher Curl (Barbell),,,1,normal,31.75,6.0,,,,2026-07-03
Afternoon workout 💪,"Jul 3, 2026, 6:27 PM","Jul 3, 2026, 6:30 PM",,Single Arm Triceps Pushdown (Cable),,,0,normal,13.83,9.0,,,,2026-07-03
Afternoon workout 💪,"Jul 3, 2026, 6:27 PM","Jul 3, 2026, 6:30 PM",,Single Arm Triceps Pushdown (Cable),,,1,normal,13.83,6.0,,,,2026-07-03
I did more than this but I forgot to write it down,"Jun 26, 2026, 7:22 PM","Jun 26, 2026, 8:06 PM",,Jefferson Curl,,,0,normal,34.02,10.0,,,,2026-06-26
I did more than this but I forgot to write it down,"Jun 26, 2026, 7:22 PM","Jun 26, 2026, 8:06 PM",,Jefferson Curl,,,1,normal,34.02,8.0,,,,2026-06-26
Evening workout 🏋️,"Jun 24, 2026, 9:57 PM","Jun 24, 2026, 10:47 PM",,Pull Up,,,0,normal,92.98643585,11.0,,,,2026-06-24
Evening workout 🏋️,"Jun 24, 2026, 9:57 PM","Jun 24, 2026, 10:47 PM",,Incline Bench Press (Dumbbell),,,0,normal,29.48,12.0,,,,2026-06-24
Evening workout 🏋️,"Jun 24, 2026, 9:57 PM","Jun 24, 2026, 10:47 PM",,Incline Bench Press (Dumbbell),,,1,normal,29.48,7.0,,,,2026-06-24
Evening workout 🏋️,"Jun 24, 2026, 9:57 PM","Jun 24, 2026, 10:47 PM",,T Bar Row,,,0,normal,52.16,10.0,,,,2026-06-24
Evening workout 🏋️,"Jun 24, 2026, 9:57 PM","Jun 24, 2026, 10:47 PM",,T Bar Row,,,1,normal,52.16,6.0,,,,2026-06-24
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Overhead Press (Barbell),,Ohp 3rd set,0,normal,43.09,10.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Overhead Press (Barbell),,Ohp 3rd set,1,normal,43.09,7.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Overhead Press (Barbell),,Ohp 3rd set,2,normal,43.09,6.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Single Arm Triceps Pushdown (Cable),,,0,normal,13.83,11.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Single Arm Triceps Pushdown (Cable),,,1,normal,13.83,9.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Single Arm Triceps Pushdown (Cable),,,2,normal,12.47,9.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Preacher Curl (Barbell),,,0,normal,31.75,8.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Preacher Curl (Barbell),,,1,normal,31.75,6.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Preacher Curl (Barbell),,,2,normal,27.22,9.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Hammer Curl (Dumbbell),,,0,normal,20.41,9.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Hammer Curl (Dumbbell),,,1,normal,20.41,6.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Torso Rotation,,,0,normal,68.04,8.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Rear Delt Reverse Fly (Cable),,,0,normal,5.67,9.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Rear Delt Reverse Fly (Cable),,,1,normal,5.67,6.0,,,,2026-06-23
Evening workout 🏋️,"Jun 23, 2026, 9:14 PM","Jun 23, 2026, 9:47 PM",,Triceps Extension (Cable),,,0,normal,22.68,10.0,,,,2026-06-23
Late night workout 🌙,"Jun 19, 2026, 6:10 PM","Jun 19, 2026, 7:00 PM",,Jefferson Curl,,,0,normal,31.75,10.0,,,,2026-06-19
Late night workout 🌙,"Jun 19, 2026, 6:10 PM","Jun 19, 2026, 7:00 PM",,Jefferson Curl,,,1,normal,31.75,9.0,,,,2026-06-19
Late night workout 🌙,"Jun 19, 2026, 6:10 PM","Jun 19, 2026, 7:00 PM",,Calf Extension (Machine),,,0,normal,149.69,10.0,,,,2026-06-19
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,Pull Up,,,0,normal,92.98643585,11.0,,,,2026-06-18
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,Pull Up (Assisted),,,0,normal,74.84643585,8.0,,,,2026-06-18
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,Pull Up (Assisted),,,1,normal,74.84643585,7.0,,,,2026-06-18
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,Incline Bench Press (Dumbbell),,,0,normal,31.75,9.0,,,,2026-06-18
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,Incline Bench Press (Dumbbell),,,1,normal,31.75,7.0,,,,2026-06-18
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,Pullover (Dumbbell),,,0,normal,18.14,11.0,,,,2026-06-18
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,T Bar Row,,,0,normal,52.16,10.0,,,,2026-06-18
Late night workout 🌙,"Jun 18, 2026, 6:10 PM","Jun 18, 2026, 6:52 PM",,T Bar Row,,,1,normal,52.16,6.0,,,,2026-06-18
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Overhead Press (Barbell),,Ohp 3rd set,0,normal,43.09,9.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Overhead Press (Barbell),,Ohp 3rd set,1,normal,43.09,7.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Overhead Press (Barbell),,Ohp 3rd set,2,normal,43.09,8.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Preacher Curl (Barbell),,,0,normal,31.75,9.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Preacher Curl (Barbell),,,1,normal,31.75,7.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Preacher Curl (Barbell),,,2,normal,27.22,7.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Single Arm Triceps Pushdown (Cable),,,0,normal,13.83,10.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Single Arm Triceps Pushdown (Cable),,,1,normal,13.83,7.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Single Arm Triceps Pushdown (Cable),,,2,normal,12.47,8.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Rear Delt Reverse Fly (Cable),,,0,normal,5.67,12.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Rear Delt Reverse Fly (Cable),,,1,normal,5.67,9.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Hammer Curl (Dumbbell),,,0,normal,20.41,9.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Hammer Curl (Dumbbell),,,1,normal,20.41,6.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Triceps Extension (Cable),,,0,normal,22.68,10.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Triceps Extension (Cable),,,1,normal,22.68,7.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Torso Rotation,,,0,normal,65.77,9.0,,,,2026-06-17
Morning workout ☀️,"Jun 17, 2026, 9:26 PM","Jun 17, 2026, 10:40 PM",,Crunch (Machine),,,0,normal,27.22,9.0,,,,2026-06-17
Evening workout 🏋️,"Jun 16, 2026, 8:11 PM","Jun 16, 2026, 8:58 PM",,Jefferson Curl,,,0,normal,31.75,10.0,,,,2026-06-16
Evening workout 🏋️,"Jun 16, 2026, 8:11 PM","Jun 16, 2026, 8:58 PM",,Jefferson Curl,,,1,normal,31.75,9.0,,,,2026-06-16
Evening workout 🏋️,"Jun 16, 2026, 8:11 PM","Jun 16, 2026, 8:58 PM",,Jefferson Curl,,,2,normal,31.75,7.0,,,,2026-06-16
Evening workout 🏋️,"Jun 16, 2026, 8:11 PM","Jun 16, 2026, 8:58 PM",,Standing Calf Raise (Machine),,,0,normal,149.69,13.0,,,,2026-06-16
Evening workout 🏋️,"Jun 16, 2026, 8:11 PM","Jun 16, 2026, 8:58 PM",,Standing Calf Raise (Machine),,,1,normal,149.69,9.0,,,,2026-06-16
Evening workout 🏋️,"Jun 16, 2026, 8:11 PM","Jun 16, 2026, 8:58 PM",,Leg Extension (Machine),,,0,normal,77.11,10.0,,,,2026-06-16
Evening workout 🏋️,"Jun 16, 2026, 8:11 PM","Jun 16, 2026, 8:58 PM",,Leg Extension (Machine),,,1,normal,72.57,8.0,,,,2026-06-16
Evening workout 🏋️,"Jun 9, 2026, 7:55 PM","Jun 9, 2026, 8:30 PM",I probably did more than this but I didn't look at this for a week,Pull Up,,,0,normal,92.98643585,11.0,,,,2026-06-09
Evening workout 🏋️,"Jun 9, 2026, 7:55 PM","Jun 9, 2026, 8:30 PM",I probably did more than this but I didn't look at this for a week,Pull Up,,,1,normal,92.98643585,7.0,,,,2026-06-09
Evening workout 🏋️,"Jun 9, 2026, 7:55 PM","Jun 9, 2026, 8:30 PM",I probably did more than this but I didn't look at this for a week,Lat Pulldown (Cable),,,0,normal,75.98,9.0,,,,2026-06-09
Evening workout 🏋️,"Jun 9, 2026, 7:55 PM","Jun 9, 2026, 8:30 PM",I probably did more than this but I didn't look at this for a week,Lat Pulldown (Cable),,,1,normal,69.17,6.0,,,,2026-06-09
Evening workout 🏋️,"Jun 9, 2026, 7:55 PM","Jun 9, 2026, 8:30 PM",I probably did more than this but I didn't look at this for a week,Incline Bench Press (Dumbbell),,,0,normal,29.48,12.0,,,,2026-06-09
Evening workout 🏋️,"Jun 9, 2026, 7:55 PM","Jun 9, 2026, 8:30 PM",I probably did more than this but I didn't look at this for a week,Incline Bench Press (Dumbbell),,,1,normal,29.48,9.0,,,,2026-06-09
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Preacher Curl (Barbell),,,0,normal,31.75,9.0,,,,2026-06-07
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Preacher Curl (Barbell),,,1,normal,31.75,7.0,,,,2026-06-07
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Rear Delt Reverse Fly (Cable),,,0,normal,5.67,12.0,,,,2026-06-07
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Rear Delt Reverse Fly (Cable),,,1,normal,5.67,9.0,,,,2026-06-07
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Single Arm Triceps Pushdown (Cable),,,0,normal,5.67,30.0,,,,2026-06-07
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Single Arm Triceps Pushdown (Cable),,,1,normal,5.67,25.0,,,,2026-06-07
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Hammer Curl (Dumbbell),,,0,normal,20.41,9.0,,,,2026-06-07
Evening workout 🏋️,"Jun 7, 2026, 7:52 PM","Jun 7, 2026, 8:27 PM",,Hammer Curl (Dumbbell),,,1,normal,18.14,8.0,,,,2026-06-07
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Jefferson Curl,,,0,normal,31.75,10.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Jefferson Curl,,,1,normal,29.48,8.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Leg Press (Machine),,,0,normal,163.29,17.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Leg Press (Machine),,,1,normal,163.29,12.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Calf Extension (Machine),,,0,normal,149.69,10.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Calf Extension (Machine),,,1,normal,149.69,8.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Lying Leg Curl (Machine),,,0,normal,63.5,11.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Lying Leg Curl (Machine),,,1,normal,63.5,8.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Leg Extension (Machine),,,0,normal,72.57,10.0,,,,2026-06-06
Late night workout 🌙,"Jun 6, 2026, 7:56 PM","Jun 6, 2026, 8:52 PM",,Leg Extension (Machine),,,1,normal,72.57,8.0,,,,2026-06-06
Late night workout 🌙,"Jun 2, 2026, 8:06 PM","Jun 2, 2026, 8:56 PM",,Pull Up,,,0,normal,92.98643585,11.0,,,,2026-06-02
Late night workout 🌙,"Jun 2, 2026, 8:06 PM","Jun 2, 2026, 8:56 PM",,Pull Up,,,1,normal,92.98643585,7.0,,,,2026-06-02
Late night workout 🌙,"Jun 2, 2026, 8:06 PM","Jun 2, 2026, 8:56 PM",,Incline Bench Press (Dumbbell),,,0,normal,29.48,13.0,,,,2026-06-02
Late night workout 🌙,"Jun 2, 2026, 8:06 PM","Jun 2, 2026, 8:56 PM",,Incline Bench Press (Dumbbell),,,1,normal,29.48,8.0,,,,2026-06-02
